Year,ISIN
2015,US4943681035
2015,US49446R1095
2015,US5002551043
2015,US5010441013
2015,US5178341070
2015,US5184391044
2015,US5324571083
2015,US5339001068
2015,US5341871094
2015,US5398301094
2015,US5486611073
2015,US5502411037
2015,US5526761086
2015,US5529531015
2015,US5543821012
2015,US5635714059
2015,US56418H1005
2015,US5658491064
2015,US5717481023
2015,US5719032022
2015,US5738741041
2015,US5745991068
2015,US57636Q1040
2015,US5770811025
2015,US5797802064
2015,US5801351017
2015,US58155Q1031
2015,US58933Y1055
2015,US59156R1086
2015,US5926881054
2015,US5949181045
2015,US5950171042
2015,US5951121038
2015,US6005441000
2015,US6081901042
2015,US60871R2094
2015,US6092071058
2015,US6174464486
2015,US61945C1036
2015,US6200763075
2015,US6267171022
2015,US6293775085
2015,US6311031081
2015,US6365181022
2015,US64110D1046
2015,US6512291062
2015,US6516391066
2015,US65339F1012
2015,US6541061031
2015,US65473P1057
2015,US6556641008
2015,US6558441084
2015,US6658591044
2015,US6668071029
2015,US6687711084
2015,US67066G1040
2015,US6708371033
2015,US67098H1041
2015,US6745991058
2015,US6819191064
2015,US6821891057
2015,US68389X1054
2015,US6866881021
2015,US6882392011
2015,US69331C1080
2015,US6934751057
2015,US6935061076
2015,US69351T1060
2015,US6936561009
2015,US6937181088
2015,US7010941042
2015,US7134481081
2015,US7140461093
2015,US7170811035
2015,US7234841010
2015,US7244791007
2015,US7310681025
2015,US74144T1088
2015,US74251V1026
2015,US7427181091
2015,US7433151039
2015,US74340W1036
2015,US7443201022
2015,US7445731067
2015,US7475251036
2015,US74834L1008
2015,US75513E1010
2015,US7588491032
2015,US7607591002
2015,US7739031091
2015,US7835491082
2015,US78409V1044
2015,US78440X8873
2015,US78473E1038
2015,US79466L3024
2015,US8101861065
2015,US81211K1007
2015,US8168511090
2015,US8243481061
2015,US8288061091
2015,US8326964058
2015,US8354951027
2015,US8425871071
2015,US84265V1052
2015,US8447411088
2015,US8545021011
2015,US8552441094
2015,US8574771031
2015,US8676524064
2015,US8718291078
2015,US8725401090
2015,US87612E1064
2015,US8807701029
2015,US8825081040
2015,US8832031012
2015,US88337F1057
2015,US8835561023
2015,US88579Y1010
2015,US89417E1091
2015,US89832Q1094
2015,US9024941034
2015,US9029733048
2015,US9078181081
2015,US9111631035
2015,US9113121068
2015,US9113631090
2015,US9129091081
2015,US91324P1021
2015,US91529Y1064
2015,US92276F1003
2015,US92343V1044
2015,US9255501051
2015,US92556V1061
2015,US9291601097
2015,US92939U1060
2015,US9311421039
2015,US9314271084
2015,US94106L1098
2015,US9418481035
2015,US9427491025
2015,US9497461015
2015,US95040Q1040
2015,US95082P1057
2015,US9581021055
2015,US9621661043
2015,US9633201069
2015,US9694571004
2015,US98389B1008
2015,US9839191015
2015,US98421M1062
2015,US9884981013
2015,US98956P1021
2016,AN8068571086
2016,CA00208D4084
2016,CA0084741085
2016,CA00900Q1037
2016,CA01626P1484
2016,CA05534B7604
2016,CA0636711016
2016,CA0641491075
2016,CA0977518616
2016,CA1247651088
2016,CA12532H1047
2016,CA13321L1085
2016,CA1360691010
2016,CA1363751027
2016,CA1363851017
2016,CA13646K1084
2016,CA1366812024
2016,CA2849025093
2016,CA29250N1050
2016,CA2927661025
2016,CA3180714048
2016,CA3359341052
2016,CA3495531079
2016,CA3759161035
2016,CA39138C1068
2016,CA4495861060
2016,CA4530384086
2016,CA45823T1066
2016,CA4969024047
2016,CA5394811015
2016,CA5592224011
2016,CA56501R1064
2016,CA59151K1084
2016,CA6744822033
2016,CA7392391016
2016,CA7751092007
2016,CA7800871021
2016,CA8029121057
2016,CA8239011031
2016,CA85472N1096
2016,CA8667961053
2016,CA8672241079
2016,CA87807B1076
2016,CA8787422044
2016,CA87971M1032
2016,CA8849038085
2016,CA8911605092
2016,CA89346D1078
2016,CA8959451037
2016,CA98462Y1007
2016,GB0022569080
2016,IE00BWT6H894
2016,LR0008862868
2016,PA1436583006
2016,US0010551028
2016,US00130H1059
2016,US00206R1023
2016,US0028241000
2016,US0028962076
2016,US00724F1012
2016,US0079031078
2016,US0082521081
2016,US00846U1016
2016,US0091581068
2016,US00971T1016
2016,US0126531013
2016,US0185811082
2016,US0188021085
2016,US0200021014
2016,US02079K3059
2016,US02209S1033
2016,US0236081024
2016,US0255371017
2016,US0258161092
2016,US0268747849
2016,US03027X1000
2016,US03073E1055
2016,US0311621009
2016,US0326541051
2016,US0367521038
2016,US03743Q1085
2016,US0378331005
2016,US0382221051
2016,US0383361039
2016,US0394831020
2016,US0441861046
2016,US0527691069
2016,US0530151036
2016,US0534841012
2016,US0536111091
2016,US0538071038
2016,US0584981064
2016,US0605051046
2016,US0640581007
2016,US0708301041
2016,US0718131099
2016,US0758871091
2016,US0844231029
2016,US0865161014
2016,US09062X1037
2016,US0970231058
2016,US0997241064
2016,US1011211018
2016,US1011371077
2016,US1101221083
2016,US1124631045
2016,US1156372096
2016,US12504L1098
2016,US1252691001
2016,US1255231003
2016,US1258961002
2016,US1264081035
2016,US12653C1080
2016,US1266501006
2016,US1270551013
2016,US1307881029
2016,US1344291091
2016,US14040H1059
2016,US14149Y1082
2016,US1491231015
2016,US1667641005
2016,US1717793095
2016,US1720621010
2016,US17275R1023
2016,US1729674242
2016,US1858991011
2016,US1890541097
2016,US1912161007
2016,US1924461023
2016,US1941621039
2016,US2003401070
2016,US2058871029
2016,US20825C1045
2016,US2091151041
2016,US21036P1084
2016,US22160K1051
2016,US2283681060
2016,US2310211063
2016,US2333311072
2016,US23355L1061
2016,US2371941053
2016,US2441991054
2016,US2473617023
2016,US25179M1036
2016,US2533931026
2016,US2546871060
2016,US25746U1097
2016,US2576511099
2016,US2600031080
2016,US26875P1012
2016,US2774321002
2016,US2774614067
2016,US2786421030
2016,US2788651006
2016,US2810201077
2016,US28176E1082
2016,US2910111044
2016,US29364G1031
2016,US29444U7000
2016,US29670G1022
2016,US2971781057
2016,US30040W1080
2016,US30161N1019
2016,US3021301094
2016,US30231G1022
2016,US3024913036
2016,US31428X1063
2016,US3156161024
2016,US3167731005
2016,US3434121022
2016,US34354P1057
2016,US3453708600
2016,US3546131018
2016,US35671D8570
2016,US3647601083
2016,US3703341046
2016,US37045V1008
2016,US3719011096
2016,US37247D1063
2016,US3755581036
2016,US38141G1040
2016,US3825501014
2016,US3848021040
2016,US3976241071
2016,US40434L1052
2016,US4062161017
2016,US4128221086
2016,US4165151048
2016,US4180561072
2016,US42250P1030
2016,US4278661081
2016,US42809H1077
2016,US4370761029
2016,US4385161066
2016,US4404521001
2016,US44107P1049
2016,US4448591028
2016,US4456581077
2016,US4461501045
2016,US4470111075
2016,US45073V1089
2016,US4523081093
2016,US4581401001
2016,US4592001014
2016,US4595061015
2016,US4601461035
2016,US4606901001
2016,US4612021034
2016,US46284V1017
2016,US4657411066
2016,US46625H1005
2016,US4663131039
2016,US46982L1089
2016,US4781601046
2016,US48020Q1076
2016,US48203R1041
2016,US48242W1062
2016,US4824801009
2016,US4878361082
2016,US4891701009
2016,US4932671088
2016,US4943681035
2016,US49446R1095
2016,US5002551043
2016,US5010441013
2016,US5178341070
2016,US5184391044
2016,US5218652049
2016,US5324571083
2016,US5339001068
2016,US5341871094
2016,US5398301094
2016,US5486611073
2016,US5502411037
2016,US5526761086
2016,US5529531015
2016,US5543821012
2016,US5635714059
2016,US56418H1005
2016,US5658491064
2016,US5717481023
2016,US5719032022
2016,US5738741041
2016,US5745991068
2016,US57636Q1040
2016,US5770811025
2016,US5797802064
2016,US5801351017
2016,US58155Q1031
2016,US58933Y1055
2016,US59156R1086
2016,US5926881054
2016,US5949181045
2016,US5950171042
2016,US5951121038
2016,US6005441000
2016,US6081901042
2016,US60871R2094
2016,US6092071058
2016,US6153691059
2016,US6174464486
2016,US61945C1036
2016,US6200763075
2016,US6267171022
2016,US6293775085
2016,US6311031081
2016,US6365181022
2016,US64110D1046
2016,US6512291062
2016,US6516391066
2016,US65249B1098
